,speed,spacing,speed difference
9166,27.70571,64.96666,9.22372
9176,27.18137,72.24331,5.49128
9186,15.44373,71.71322,-6.38547
9196,10.55249,61.38284,-11.26273
9206,10.08688,49.92441,-11.96299
9216,4.57913,35.02333,-16.29085
9226,4.82864,24.6774,-4.94649
9236,4.38176,22.52743,-0.11306000000000001
9246,0.6523300000000001,23.06027,0.12087
9256,0.0,22.69354,-0.36549000000000004
9266,0.0,22.69354,0.0
9276,0.0,22.69354,0.0
9286,0.0,22.69354,0.0
9296,0.0,22.65725,-0.36296
9306,1.47346,21.69124,-0.32674000000000003
9316,4.13173,20.02936,-0.40853000000000006
9326,9.72707,23.62579,5.41273
9336,13.27959,30.50856,7.52674
9346,17.97582,37.25354,6.55289
9356,21.65161,43.90252,6.46887
9366,24.61575,51.09888,6.4404900000000005
9376,23.9333,54.56762,2.4364500000000002
9386,24.06742,55.97661,-0.49006000000000005
9396,24.7337,55.769,1.48901
9406,26.52051,56.51536,0.15384
9416,27.52244,58.13679,2.55771
9426,26.34157,60.25843,1.1041
9436,26.79652,61.05834,0.5165000000000001
9446,26.90758,61.80112,0.7687
9456,27.06736,63.4652,0.15079
9466,24.77746,61.60883,-1.48977
9476,25.32635,40.81339,0.32773
9486,25.27011,41.15768,0.30685
9496,24.64501,40.24026,-2.49439
9506,22.47477,37.2773,-3.38232
9516,23.02562,29.79521,-0.62002
9526,24.85991,32.09832,3.78284
9536,22.25817,35.75033,4.25249
9546,18.82933,39.49433,2.38143
9556,15.717880000000001,40.92517,2.79163
9566,14.8481,41.5499,-1.9517700000000002
9576,14.0854,40.21503,-0.39652000000000004
9586,12.04879,40.59593,-0.22244000000000003
9596,10.03727,39.02316,-2.16942
9606,10.00108,37.09298,-2.05863
9616,10.00092,34.96588,-1.8352
9626,10.00125,34.37287,-0.21204
9636,9.99803,33.635040000000004,-0.8981600000000001
9646,9.83301,33.00161,-0.39376000000000005
9656,10.00016,33.59967,0.9806400000000001
9666,10.00125,34.78025,1.68422
9676,10.00095,36.29465,1.07109
9686,9.99951,37.85732,1.14196
9696,10.11752,37.82018,0.05561000000000001
9706,14.08488,40.30283,4.08317
9716,15.5065,45.21211,5.36634
9726,23.31001,54.09177,13.17559
9736,27.12412,70.60656,17.2963
9746,24.88153,84.05233,10.39265
9756,25.02074,92.3756,6.24777
9766,28.42215,99.90774,10.31247
9776,30.65,111.87428,13.84859
9786,27.74009,125.21034,9.61483
9796,29.14895,173.63475,4.877
9806,30.25161,179.31906,5.23744
9816,26.04442,180.50063,-3.23097
9826,25.0104,175.87497,-5.1292
9836,24.92674,74.26175,-12.12077
9846,24.00843,64.43045,-8.14636
9856,23.35974,58.01237,-5.1605
9866,22.60584,55.19866,1.06729
9876,25.56417,60.61201,6.93546
