,speed,spacing,speed difference
774449,23.64478,52.0435,0.39225000000000004
774459,23.64065,52.4317,0.38094000000000006
774469,23.37497,52.84236,0.015160000000000002
774479,18.82389,50.01234,-4.50246
774489,17.6395,45.19301,-4.03025
774499,19.79741,43.11116,-0.50817
774509,19.49547,43.2107,0.48012000000000005
774519,20.7501,45.03248,3.08245
774529,17.35423,46.2876,-2.08258
774539,21.60453,45.41151,0.7467900000000001
774549,19.95364,45.51506,-1.80715
774559,21.05098,44.20712,1.5062
774569,23.76762,47.19282,3.35886
774579,27.80263,51.26151,5.95945
774589,23.89334,55.65768,0.8536400000000001
774599,24.62126,56.96923,2.9517700000000002
774609,25.64022,60.74282,4.64455
774619,29.65991,66.49603,6.14692
774629,28.30325,70.83632,2.52861
774639,25.54081,70.67546,-3.10112
774649,26.28635,66.57494,-2.49876
774659,24.87582,64.73301,-2.41877
774669,23.21421,63.18895,-2.47044
774679,19.59734,58.11155,-6.59151
774689,13.82549,21.01116,2.73681
774699,5.7988800000000005,18.55686,-5.10273
774709,5.00285,16.91503,0.8156100000000001
774719,5.00062,18.5122,0.8115100000000001
774729,4.99291,18.05125,-0.8221200000000001
774739,9.36083,18.97113,3.52842
774749,8.70564,22.49793,2.04636
774759,8.50102,22.64958,1.04413
774769,8.54262,25.2229,2.80151
774779,11.60663,28.60187,4.02212
774789,17.83156,34.38868,7.73185
774799,18.80345,40.68698,3.27373
774809,19.173,42.86654,2.8523
774819,9.48409,40.26913,-9.379
774829,5.98845,28.83589,-7.58042
774839,1.6354000000000002,25.5335,-3.40197
774849,0.75151,21.06063,-2.9985600000000003
774859,0.53812,20.43258,-0.22891000000000003
774869,0.45367,20.12159,-0.23183
774879,0.7450800000000001,20.310200000000002,0.34652000000000005
774889,0.7530800000000001,20.49078,0.02874
774899,0.77766,20.51053,0.02714
774909,0.94554,20.62716,0.17608000000000001
774919,0.0,20.154,-0.9290700000000001
774929,4.60801,21.60324,4.60801
774939,5.5019,25.88451,2.70639
774949,12.1167,29.75112,7.10322
774959,17.08156,40.23632,11.736650000000001
774969,14.77569,47.39249,2.68127
774979,14.78694,46.72868,-1.08432
774989,14.67208,46.16136,-0.32881000000000005
774999,16.21896,46.44177,1.21729
775009,20.10873,50.35036,5.10693
775019,20.01342,55.35138,5.01158
775029,20.75194,60.64587,5.73973
775039,20.3959,65.96214,3.83064
775049,15.09245,64.70121,-3.55785
775059,13.28766,60.73032,-5.60463
775069,10.05843,51.89104,-9.87599
775079,13.1376,44.75994,-2.7284100000000002
775089,18.40102,45.68488,3.40049
775099,19.82635,50.46631,5.14682
775109,19.45869,54.00787,1.27473
775119,15.10791,50.70342,-4.90974
775129,15.03009,45.87103,-4.45823
775139,16.1146,41.64708,-3.20194
775149,21.48898,44.20331,6.34643
775159,22.92047,51.99498,8.1582
775169,20.06929,56.42077,0.44846
775179,20.00203,54.85896,-2.3192
775189,19.99183,52.72378,-1.78232
775199,18.05952,51.67507,-1.9623300000000001
775209,8.33773,44.92736,-10.02277
775219,5.02956,35.35718,-9.07694
775229,5.33251,29.27756,-4.66021
775239,10.02743,26.70834,0.10263000000000001
775249,15.90069,30.18737,6.00069
775259,18.78796,37.94675,8.796
775269,24.4166,49.5484,13.9564
