,speed,spacing,speed difference
756820,25.64042,129.43196,-18.46237
756821,25.38383,127.50122,-19.30767
756822,25.11089,125.51192,-19.89302
756823,24.76161,123.4584,-20.53524
756824,24.29144,121.33261,-21.25768
756825,23.72979,119.13108,-22.01552
756826,23.1748,116.86103,-22.7005
756827,22.71207,114.53898,-23.22067
756828,22.36742,112.18432,-23.54633
756829,22.12287,109.815,-23.69321
756830,21.94344,107.44551,-23.69501
756831,21.79065,105.08658,-23.58944
756832,21.62625,102.74511,-23.4143
756833,21.40171,100.42336,-23.21794
756834,21.04134,98.11575,-23.07592
756835,20.48173,95.8106,-23.05154
756836,19.76043,93.49987,-23.10726
756837,19.01598,91.18944,-23.10453
756838,18.37897,88.89817,-22.91276
756839,17.900760000000002,86.65007,-22.48074
756840,17.56847,84.46792,-21.821460000000002
756841,17.34245,82.37044,-20.97484
756842,17.17769,80.37179,-19.98648
756843,17.03025,78.48163,-18.90141
756844,16.85446,76.70492,-17.76729
756845,16.58609,75.0397,-16.65217
756846,16.12953,73.47382,-15.65873
756847,15.41729,71.98704,-14.86791
756848,14.51329,70.56293,-14.24084
756849,13.5957,69.20075,-13.62185
756850,12.82129,67.91499,-12.85758
756851,12.24751,66.72546,-11.89537
756852,11.85751,65.6481,-10.77336
756853,11.60653,64.6913,-9.56804
756854,11.44892,63.85493,-8.36374
756855,11.34872,63.13097,-7.23963
756856,11.28009,62.50427,-6.26715
756857,11.2253,61.953450000000004,-5.50846
756858,11.17172,61.4521,-5.01312
756859,11.1148,60.97185,-4.80272
756860,11.07431,60.48882,-4.83035
756861,11.08517,59.99453,-4.94268
756862,11.15308,59.49482,-4.99715
756863,11.24587,58.99508,-4.99744
756864,11.33041,58.49577,-4.9930200000000005
756865,11.39354,57.99653,-4.99252
756866,11.43586,57.49712,-4.994
756867,11.46253,56.99758,-4.9956700000000005
756868,11.47854,56.49787,-4.99702
756869,11.4876,55.99803,-4.99823
756870,11.49177,55.49803,-5.00009
756871,11.49177,54.99767,-5.0037
756872,11.48701,54.49659,-5.01063
756873,11.47536,53.99426,-5.02346
756874,11.4519,53.4895,-5.04735
756875,11.40748,52.98035,-5.09167
756876,11.32543,52.463,-5.17329
756877,11.17349,51.93058,-5.32438
756878,10.91322,51.37231,-5.58265
756879,10.55374,50.77855,-5.93776
756880,10.18986,50.14924,-6.29305
756881,9.93655,49.49616,-6.53094
756882,9.82979,48.83505,-6.61096
756883,9.824770000000001,48.17806,-6.56995
756884,9.86168,47.53261,-6.45436
756885,9.90404,46.90463,-6.27985
756886,9.93809,46.30164,-6.02996
756887,9.96161,45.73478,-5.66871
756888,9.97651,45.21874,-5.16027
756889,9.985240000000001,44.76883,-4.49882
756890,9.9899,44.39656,-3.72303
756891,9.99236,44.10689,-2.89658
756892,9.99482,43.89909,-2.07805
756893,10.00144,43.76841,-1.30699
756894,10.02261,43.70826,-0.60118
756895,10.07979,43.7127,0.044230000000000005
756896,10.20259,43.77773,0.65056
756897,10.41867,43.90207,1.24344
756898,10.74055,44.08602,1.83914
756899,11.14518,44.32848,2.42487
756900,11.56906,44.62408,2.95571
756901,11.94308,44.96326,3.3921
756902,12.2311,45.33727,3.73973
756903,12.43396,45.74212,4.04879
756904,12.571390000000001,46.17972,4.37585
756905,12.66562,46.65364,4.73911
756906,12.73071,47.16405,5.10413
756907,12.77316,47.70594,5.41893
