,speed,spacing,speed difference
751092,31.92129,86.76135,-4.59265
751102,31.17658,83.06821,-2.26893
751112,29.56998,82.20387,1.05531
751122,26.67723,83.37031,0.32267
751132,26.11896,82.88915,0.17385
751142,27.10473,82.4878,-1.3855300000000002
751152,25.2936,79.10004,-4.56267
751162,25.14429,76.45673,-1.36132
751172,24.430320000000002,74.56369,-2.11637
751182,23.42221,72.77153,-1.97973
751192,22.53261,70.71509,-2.53055
751202,19.92434,66.94889,-3.73019
751212,18.78803,64.15263,-1.82641
751222,19.77861,62.84006,-0.6345500000000001
751232,18.65837,61.69039,-1.72805
751242,19.36896,60.32523,-0.71664
751252,16.47471,58.55673,-3.09252
751262,20.79695,58.19183,3.3644
751272,16.20653,59.38737,-2.94505
751282,20.13786,57.13708,0.13684000000000002
751292,20.50784,57.65197,0.51273
751302,20.475,58.22238,0.47283000000000003
751312,21.37264,58.69932,0.51542
751322,20.58842,58.87687,-0.14898
751332,19.5041,58.76329,-0.45499000000000006
751342,19.88494,57.41247,-2.66237
751352,20.7917,55.53406,0.22303
751362,20.8752,56.32471,0.9313300000000001
751372,20.88839,57.17248,0.8875400000000001
751382,20.68543,57.872370000000004,0.67349
751392,17.5542,56.82435,-3.1003
751402,15.77057,53.68071,-3.49183
751412,14.43819,49.95653,-2.42559
751422,13.68517,49.12294,-1.18402
751432,12.22684,46.54636,-2.77359
751442,12.920960000000001,44.0921,-2.08098
751452,14.85807,43.12727,-0.014960000000000001
751462,14.9313,45.23681,3.23967
751472,14.96549,48.34714,3.1794700000000002
751482,14.99652,51.5565,3.2102
751492,13.50016,54.39285,1.71404
751502,8.43599,53.12247,-3.3144
751512,8.12526,49.62891,-3.60401
751522,8.12881,46.58435,-1.96656
751532,8.12769,45.08773,-1.41289
751542,8.12789,43.67825,-1.40997
751552,8.12835,42.2689,-1.40902
751562,8.12569,40.85958,-1.40869
751572,8.1024,39.39586,-1.4355600000000002
751582,13.48153,40.17529,3.84157
751592,18.3749,46.06841,4.44649
751602,18.74866,46.08153,-2.39514
751612,19.89767,45.31903,1.37654
751622,19.15892,47.13113,1.20479
751632,15.06214,44.38379,-4.38248
751642,15.00633,40.99875,-2.10827
751652,15.33199,40.62008,0.30860000000000004
751662,15.52362,41.05896,0.53779
751672,15.39183,41.95184,1.57667
751682,15.029,43.03501,0.71187
751692,15.00203,43.66411,0.60872
751702,15.00161,44.4109,1.00551
751712,15.00233,47.52536,4.6937
751722,15.06516,52.50354,4.47874
751732,15.00368,55.28078,1.3645100000000001
751742,15.1602,55.55873,0.15662
751752,18.73593,56.85673,2.4773
751762,19.9939,58.8503,0.773
751772,20.21053,58.99636,0.21174
751782,20.66329,59.55985,0.6320600000000001
