,speed,spacing,speed difference
756820,25.64042,129.43196,-18.46237
756830,21.94344,107.44551,-23.69501
756840,17.56847,84.46792,-21.821460000000002
756850,12.82129,67.91499,-12.85758
756860,11.07431,60.48882,-4.83035
756870,11.49177,55.49803,-5.00009
756880,10.18986,50.14924,-6.29305
756890,9.9899,44.39656,-3.72303
756900,11.56906,44.62408,2.95571
756910,12.86099,49.45138,5.96191
756920,12.36978,166.59466,-12.05158
756930,13.4643,157.84807,-6.16454
756940,14.97425,156.08833,0.23616
756950,12.00912,156.74853,0.43474
756960,11.8126,159.34332,4.86686
756970,12.16152,30.654,0.8936100000000001
756980,11.66752,31.40174,0.40778000000000003
756990,13.89137,32.52648,2.5631500000000003
757000,14.324770000000001,36.61864,4.49176
757010,14.39944,38.07018,-0.37746
757020,14.01234,38.80236,1.01529
757030,16.1229,39.1589,0.28547
757040,16.8915,39.09344,-0.40378000000000003
757050,16.06293,38.63661,-0.41473000000000004
757060,13.28268,38.27405,-1.31302
757070,12.71335,36.17783,-2.28015
757080,9.66112,32.9002,-4.74377
757090,9.00243,30.0482,-1.17989
757100,8.60108,31.68819,-0.6681100000000001
757110,9.03386,31.69836,0.059680000000000004
757120,11.70883,32.85998,2.84735
757130,12.43205,36.27166,3.5352300000000003
757140,12.1456,39.05883,1.64711
757150,12.39075,39.37395,0.07011
757160,15.78009,40.73225,2.98537
757170,18.73314,44.8372,4.43422
757180,14.6477,46.53573,-1.5646
757190,8.67982,40.15718,-8.15204
757200,4.78307,33.06466,-5.48714
757210,0.33757000000000004,28.06388,-4.70856
757220,0.0,26.06138,0.0
757230,0.0,26.06138,0.0
757240,0.0,26.06138,0.0
757250,0.0,26.06138,0.0
757260,0.0,26.06138,0.0
757270,0.0,26.06138,0.0
757280,0.0,26.06138,0.0
757290,0.8705100000000001,26.19606,0.8705100000000001
757300,5.25194,30.04147,5.25194
757310,9.49564,37.3668,9.49564
757320,14.26978,47.15466,9.63658
757330,14.99774,54.57133,5.47057
757340,14.44636,58.42628,1.25961
757350,10.21798,55.36582,-4.8023
757360,10.12018,50.41975,-4.88185
757370,14.40174,47.25217,-0.59813
757380,20.42654,50.33029,5.7026900000000005
757390,20.94282,55.62497,3.42261
757400,20.10371,56.3668,-1.20446
757410,16.70532,53.36637,-5.43848
757420,14.981,47.0475,-5.49016
757430,12.93396,43.25909,-2.70039
757440,11.59183,40.11883,-3.30699
757450,15.73009,38.60772,0.7281500000000001
757460,18.13927,41.2084,3.13658
757470,18.16253,44.35348,3.11673
757480,18.16749,47.24052,1.39367
757490,18.13045,46.78054,-0.53281
757500,12.4565,43.02799,-4.78756
757510,18.05351,42.31591,2.95466
757520,21.82546,46.94035,3.71716
757530,21.51467,50.14781,2.9343500000000002
757540,20.03005,52.1001,1.5503200000000001
757550,20.08786,53.69373,1.60859
757560,19.15935,55.03871,0.67976
757570,14.9875,52.72821,-3.50551
757580,11.04436,47.52703,-7.47411
757590,9.05197,38.8897,-9.4272
757600,7.427,28.47887,-10.87346
757610,12.49606,20.84577,-3.96923
757620,15.16106,19.13616,-1.28681
757630,15.16122,17.84885,-1.28662
